# t_seconds latch value
0.000021455 C 00
0.016516727 A 00
0.016525455 B 00
0.065664727 A 0F
0.065673455 B 0F
0.082052000 A 0F
0.082060727 B 0F
0.098439273 A 0F
0.098448000 B 0F
0.114817818 A 0F
0.114826545 B 0F
0.131205091 A 0F
0.131213818 B 0F
0.147592364 A 0F
0.147601091 B 0F
0.163976364 A 0F
0.163985091 B 0F
0.180353455 A 0F
0.180362182 B 0F
0.196740727 A 0F
0.196749455 B 0F
0.213124364 A 0F
0.213133091 B 0F
0.229506909 A 0F
0.229515636 B 0F
0.245890909 A 0F
0.245899636 B 0F
0.262273818 A 0F
0.262282545 B 0F
0.278664364 A 0F
0.278673091 B 0F
0.295045091 A 0F
0.295053818 B 0F
0.311427636 A 0F
0.311436364 B 0F
0.327809091 A 0F
0.327817818 B 0F
0.344198182 A 0F
0.344206909 B 0F
0.360577455 A 0F
0.360586182 B 0F
0.376964364 A 0F
0.376973091 B 0F
0.393350182 A 0F
0.393358909 B 0F
0.409734909 A 0F
0.409743636 B 0F
0.426118545 A 0F
0.426127273 B 0F
0.442504000 A 0F
0.442512727 B 0F
0.458888364 A 0F
0.458897091 B 0F
0.475271636 A 0F
0.475280364 B 0F
0.491653818 A 0F
0.491662545 B 0F
0.508034909 A 0F
0.508043636 B 0F
0.524417455 A 0F
0.524426182 B 0F
0.540807636 A 0F
0.540816364 B 0F
0.557188000 A 0F
0.557196727 B 0F
0.573575273 A 0F
0.573584000 B 0F
0.589953818 A 0F
0.589962545 B 0F
0.606341091 A 0F
0.606349818 B 0F
0.622728364 A 0F
0.622737091 B 0F
0.639106909 A 0F
0.639115636 B 0F
0.655494182 A 0F
0.655502909 B 0F
0.671872727 A 0F
0.671881455 B 0F
0.688259273 A 0F
0.688268000 B 0F
0.704645091 A 0F
0.704653818 B 0F
0.721029818 A 0F
0.721038545 B 0F
0.737413455 A 0F
0.737422182 B 0F
0.753796000 A 0F
0.753804727 B 0F
0.770180000 A 0F
0.770188727 B 0F
0.786562909 A 0F
0.786571636 B 0F
0.802944727 A 0F
0.802953455 B 0F
0.819334182 A 0F
0.819342909 B 0F
0.835716727 A 0F
0.835725455 B 0F
0.852098182 A 0F
0.852106909 B 0F
0.868487273 A 0F
0.868496000 B 0F
0.884866545 A 0F
0.884875273 B 0F
0.901253455 A 0F
0.901262182 B 0F
0.917639273 A 0F
0.917648000 B 0F
0.934024000 A 0F
0.934032727 B 0F
0.950407636 A 0F
0.950416364 B 0F
0.966793091 A 0F
0.966801818 B 0F
0.983168727 A 0F
0.983177455 B 0F
0.999554545 A 0F
0.999563273 B 0F
1.015939273 A 0F
1.015948000 B 0F
1.032322909 A 0F
1.032331636 B 0F
1.048705455 A 0F
1.048714182 B 0F
1.065095636 A 0F
1.065104364 B 0F
1.081476000 A 0F
1.081484727 B 0F
1.097863273 A 0F
1.097872000 B 0F
1.114241818 A 0F
1.114250545 B 0F
1.130629091 A 0F
1.130637818 B 0F
1.147016364 A 0F
1.147025091 B 0F
1.163394909 A 0F
1.163403636 B 0F
1.179782182 A 0F
1.179790909 B 0F
1.196160727 A 0F
1.196169455 B 0F
1.212547273 A 0F
1.212556000 B 0F
1.228933091 A 0F
1.228941818 B 0F
1.245317818 A 0F
1.245326545 B 0F
1.261701455 A 0F
1.261710182 B 0F
1.278084000 A 0F
1.278092727 B 0F
1.294468000 A 0F
1.294476727 B 0F
1.310850909 A 0F
1.310859636 B 0F
1.327232727 A 0F
1.327241455 B 0F
1.343622182 A 0F
1.343630909 B 0F
1.360004727 A 0F
1.360013455 B 0F
1.376386182 A 0F
1.376394909 B 0F
1.392775273 A 0F
1.392784000 B 0F
1.409154545 A 0F
1.409163273 B 0F
1.425541455 A 0F
1.425550182 B 0F
1.441927273 A 0F
1.441936000 B 0F
1.458312000 A 0F
1.458320727 B 0F
1.474695636 A 0F
1.474704364 B 0F
1.491081091 A 0F
1.491089818 B 0F
1.507456727 A 0F
1.507465455 B 0F
1.523842545 A 0F
1.523851273 B 0F
1.540227273 A 0F
1.540236000 B 0F
1.556610909 A 0F
1.556619636 B 0F
1.572993455 A 0F
1.573002182 B 0F
1.589383636 A 0F
1.589392364 B 0F
1.605764000 A 0F
1.605772727 B 0F
1.622151273 A 0F
1.622160000 B 0F
1.638529818 A 0F
1.638538545 B 0F
1.654917091 A 0F
1.654925818 B 0F
1.671304364 A 0F
1.671313091 B 0F
1.687682909 A 0F
1.687691636 B 0F
1.704070182 A 0F
1.704078909 B 0F
